priority,total_score,primary_category,year,venue,title,authors,abstract,url,doi,citation_count,kg_score,repair_score,neurosymbolic_score,graph_ml_score,llm_agent_score,data_quality_score,benchmark_score,negative_penalty,reason_for_inclusion,matched_terms,dblp_key,semantic_scholar_id,openalex_id
A,12,KG repair / data repair / constraints,2024,AAAI,Question Calibration and Multi-Hop Modeling for Temporal Question Answering.,Chao Xue; Di Liang; Pengfei Wang; Jing Zhang,"Many models that leverage knowledge graphs (KGs) have recently demonstrated remarkable success in question answering (QA) tasks. In the real world, many facts contained in KGs are time-constrained thus temporal KGQA has received increasing attention. Despite the fruitful efforts of previous models in temporal KGQA, they still have several limitations. (I) They adopt pre-trained language models (PLMs) to obtain question representations, while PLMs tend to focus on entity information and ignore entity transfer caused by temporal constraints, and finally fail to learn specific temporal representations of entities. (II) They neither emphasize the graph structure between entities nor explicitly model the multi-hop relationship in the graph, which will make it difficult to solve complex multi-hop question answering. To alleviate this problem, we propose a novel Question Calibration and Multi-Hop Modeling (QC-MHM) network. Specifically, We first calibrate the question representation by fusing the question and the time-constrained concepts in KG. Then, we construct the GNN layer to complete multi-hop message passing. Finally, the question representation is combined with the embedding output by the GNN to generate the final prediction. Empirical results verify that the proposed model achieves better performance than the state-of-the-art models in the benchmark dataset. Notably, the Hits@1 and Hits@10 results of QC-MHM on the CronQuestions dataset's complex questions are absolutely improved by 5.1% and 1.2% compared to the best-performing baseline. Moreover, QC-MHM can generate interpretable and trustworthy predictions.",https://doi.org/10.1609/aaai.v38i17.29903,10.1609/aaai.v38i17.29903,15,3,3,0,2,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Graph ML relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""benchmark""], ""graph_ml"": [""gnn"", ""message passing""], ""kg"": [""knowledge graph""], ""llm_agent"": [""rag""], ""repair"": [""constraints""]}",conf/aaai/XueLWZ24,,https://openalex.org/W4393161120
A,12,KG repair / data repair / constraints,2024,KDD,DiffusionE: Reasoning on Knowledge Graphs via Diffusion-based Graph Neural Networks.,Zongsheng Cao; Jing Li; Zigan Wang; Jinliang Li,"Graph Neural Networks (GNNs) have demonstrated powerful capabilities in reasoning within Knowledge Graphs (KGs), gathering increasing attention. Our idea stems from the observation that the prior work typically employs hand-designed or sample-designed paradigms in the process of message propagation, engaging a set of adjacent entities at each step of propagation. As a result, such methods struggle with the increasing number of entities involved as propagation steps extend. Moreover, they neglect the message interactions between adjacent entities and propagation relations in KG reasoning, leading to semantic inconsistency during the message aggregation phase. To address these issues, we introduce a novel knowledge graph embedding method through a diffusion process, termed DiffusionE. Specifically, we reformulate the message propagation in knowledge reasoning as a diffusion process, regarding the message semantics as the diffusion signal. In this sense, guided by semantic information, messages can be transmitted between nodes effectively and adaptively. Furthermore, the theoretical analysis suggests our method can leverage an optimal diffusivity for message propagation in the semantic interactions of KGs. It shows that DiffusionE effectively leverages message interactions between entities and propagation relations, ensuring semantic consistency in KG reasoning. Comprehensive experiments reveal that our method attains state-of-the-art performance compared to prior work on several well-established benchmarks.",https://doi.org/10.1145/3637528.3671997,10.1145/3637528.3671997,5,3,3,0,2,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Graph ML relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""benchmark""], ""graph_ml"": [""graph neural network"", ""gnn""], ""kg"": [""knowledge graph""], ""llm_agent"": [""rag"", ""kg reasoning""], ""repair"": [""consistency""]}",conf/kdd/CaoLWL24,,https://openalex.org/W4401863536
A,12,KG repair / data repair / constraints,2026,AAAI,DuoKD: Dual Knowledge Distillation from Large Language Models for Robust Graph Neural Networks.,Cuiying Huo; Xiaotong Huang; Dongxiao He; Yixuan Du; Wenhuan Lu; Di Jin,"Graph neural networks (GNNs) have become a dominant modeling paradigm for graph-structured data, and the emergence of large language models (LLMs) has spurred growing interest in integrating external semantic knowledge into GNNs. Current LLM-based GNNs are devoted to extracting semantically similar information from LLMs to enhance representation learning. However, they generally overlook key signals that are semantically dissimilar but exhibit stronger inter-class discriminative ability. Especially when the original graph data contains noise or semantic ambiguity, a single similarity-based semantic augmentation strategy not only fails to provide effective enhancement, but may also amplify misleading signals generated by the LLM in response to low-quality inputs or its own hallucinations, further degrading the discriminative power and robustness of GNNs. To this end, we propose a dual positive-negative knowledge extraction strategy based on LLMs, and integrate it with a knowledge distillation mechanism to dynamically transfer multi-dimensional enhanced signals to GNNs, thereby achieving fine-grained and robust graph representation learning. Specifically, we design personalized prompts to guide LLMs in generating semantically similar positive signals and semantically dissimilar negative signals, which help the model capture intra-class consistency and inter-class distinction. Then, we further generate structural and semantic reasoning as supplementary knowledge to support the rationality and guidance of supervision signals. To identify high-confidence transferred knowledge, we introduce a language-based evaluation mechanism to filter low-confidence or hallucinated outputs. Finally, under a unified distillation framework, our method uses both positive and negative knowledge to guide GNN training, achieving adaptive and robust representation learning. Extensive experiments on benchmark datasets verify the superior performance of our approach across various tasks.",https://doi.org/10.1609/aaai.v40i17.38513,10.1609/aaai.v40i17.38513,0,3,3,0,2,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Graph ML relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""benchmark"", ""evaluation""], ""graph_ml"": [""graph neural network"", ""gnn"", ""graph representation learning""], ""kg"": [""semantic web""], ""llm_agent"": [""large language model""], ""repair"": [""consistency""]}",conf/aaai/HuoHHDLJ26,,https://openalex.org/W7138147791
A,12,KG repair / data repair / constraints,2026,WWW,Matrix as Plan: Structured Logical Reasoning with Feedback-Driven Replanning.,Ke Chen; Jiandian Zeng; Zihao Peng; Guo Li; Guangxue Zhang; Tian Wang,"As knowledge and semantics on the web grow increasingly complex, enhancing Large Language Models (LLMs)' comprehension and reasoning capabilities has become particularly important. Chain-of-Thought (CoT) prompting has been shown to enhance the reasoning capabilities of LLMs. However, it still falls short on logical reasoning tasks that rely on symbolic expressions and strict deductive rules. Neuro-symbolic methods address this gap by enforcing formal correctness through external solvers. Yet these solvers are highly format-sensitive, and small instabilities in model outputs can lead to frequent processing failures. The LLM-driven approaches avoid parsing brittleness, but they lack structured representations and process-level error-correction mechanisms. To further enhance the logical reasoning capabilities of LLMs, we propose MatrixCoT, a structured CoT framework with a matrix-based plan. Specifically, we normalize and type natural language expressions and attach explicit citation fields, and introduce a matrix-based planning method to preserve global relations among steps. The plan thus becomes a verifiable artifact and execution becomes more stable. For verification, we also add a feedback-driven replanning mechanism. Under semantic-equivalence constraints, it identifies omissions and defects, rewrites and compresses the dependency matrix, and produces a more trustworthy final answer. Experiments on five logical-reasoning benchmarks and five LLMs show that, without relying on external solvers, MatrixCoT enhances both the robustness and interpretability of LLMs when tackling complex symbolic reasoning tasks, while maintaining competitive performance.",https://doi.org/10.1145/3774904.3792213,10.1145/3774904.3792213,0,3,3,2,0,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Neuro-symbolic relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""benchmark""], ""kg"": [""semantic web""], ""llm_agent"": [""large language model""], ""neurosymbolic"": [""neuro-symbolic"", ""symbolic reasoning""], ""repair"": [""constraints""]}",conf/www/ChenZPLZW26,,https://openalex.org/W7155950953
A,12,KG repair / data repair / constraints,2026,WWW,ReaLM: Residual Quantization Bridges Knowledge Graph Embeddings and Large Language Models.,Wenbin Guo; Xin Wang; Jiaoyan Chen; Lingbing Guo; Zhao Li; Zirui Chen,"Large Language Models (LLMs) have recently emerged as a powerful paradigm for Knowledge Graph Completion (KGC), offering strong reasoning and generalization capabilities beyond traditional embedding-based approaches. However, existing LLM-based methods often struggle to fully exploit structured semantic representations, as the continuous embedding space of pretrained KG models is fundamentally misaligned with the discrete token space of LLMs. This discrepancy hinders effective semantic transfer and limits their performance. To address this challenge, we propose ReaLM, a novel and effective framework that bridges the gap between KG embeddings and LLM tokenization through the mechanism of residual vector quantization. ReaLM discretizes pretrained KG embeddings into compact code sequences and integrates them as learnable tokens within the LLM vocabulary, enabling seamless fusion of symbolic and contextual knowledge. Furthermore, we incorporate ontology-guided class constraints to enforce semantic consistency, refining entity predictions based on class-level compatibility. Extensive experiments on two widely used benchmark datasets demonstrate that ReaLM achieves state-of-the-art performance, confirming its effectiveness in aligning structured knowledge with large-scale language models. The implementation is publicly available at https://github.com/xiumu-gg/ReaLM.",https://doi.org/10.1145/3774904.3792437,10.1145/3774904.3792437,0,3,3,0,2,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Graph ML relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""benchmark""], ""graph_ml"": [""kg embedding"", ""graph transformer""], ""kg"": [""knowledge graph"", ""ontology"", ""kg embedding""], ""llm_agent"": [""large language model""], ""repair"": [""constraints"", ""consistency""]}",conf/www/GuoWCGLC26,,https://openalex.org/W7156093194
A,12,KG repair / data repair / constraints,2025,KDD,A Neuro-Symbolic Approach to Symbol Grounding for ALC-Ontologies.,Xuan Wu; Yizheng Zhao,"Neuro-symbolic computing aims to integrate neural learning with symbolic reasoning to address the fundamental challenge of symbol grounding. While neural networks excel at pattern recognition, they struggle to maintain logical consistency. Conversely, symbolic systems provide formal reasoning capabilities but lack mechanisms for handling perceptual uncertainty. This paper introduces EmALC, a novel neuro-symbolic framework that bridges neural perception with symbolic logic through differentiable fuzzy semantics. Our approach addresses a key limitation of existing methods: while previous neuro-symbolic approaches like Logic Tensor Networks employ first-order fuzzy logic, where key reasoning problems are undecidable, EmALC ensures decidable reasoning by leveraging a fuzzy variant of ALC -- a decidable fragment of first-order logic. Unlike previous approaches that often compromise logical soundness for learning capability, EmALC maintains provable semantic consistency through a hierarchical loss function while mitigating reasoning shortcuts via rule-based revision strategies. Experimental evaluation demonstrates EmALC's effectiveness: on ontology revision tasks, it achieves 100% success rate in correcting masked groundings while preserving semantic integrity; on semantic image interpretation tasks, it improves object classification F1-scores by up to 5.56% through ontology-guided knowledge revision.",https://doi.org/10.1145/3711896.3736926,10.1145/3711896.3736926,0,3,3,2,0,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Neuro-symbolic relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""evaluation""], ""kg"": [""ontology""], ""llm_agent"": [""rag""], ""neurosymbolic"": [""neuro-symbolic"", ""symbolic reasoning""], ""repair"": [""consistency""]}",conf/kdd/WuZ25,,https://openalex.org/W4412876846
A,11,KG repair / data repair / constraints,2026,WWW,Combating Knowledge Corruption in Agent Systems: A Byzantine-Tolerant Secure Collaborative RAG Framework.,Zhaoqi Wang; Daqing He; Zijian Zhang; Ye Liu; Jiamou Liu; Zhirui Zeng; Zhan Qin; Zhen Li; Xin Li; Hongwei Yao; Jincheng An; Yong Liu; et al. (16 authors),"While retrieval-augmented generation systems partially address the hallucination issues in large language models, it also introduces new vulnerabilities to knowledge corruption attacks. Adversaries exploit these vulnerabilities by poisoning documents provided by RAG system to manipulate LLM outputs. To counter this threat, we propose SecureCollaRAG, a Byzantine-tolerant collaborative RAG framework leveraging Multi-source Knowledge Validation Mechanism. Our approach enables agent system to securely verify document provenance through dynamic GNN-based credibility scoring, effectively preventing stealthy knowledge corruption attacks while preserving essential domain knowledge integrity. Through extensive evaluations and formal analysis, we demonstrate that SecureCollaRAG maintains robustness against attackers under non-IID data distributions.",https://doi.org/10.1145/3774904.3792200,10.1145/3774904.3792200,0,0,3,0,2,2,2,2,0,Matches: Repair / constraint / validation relevance; Graph ML relevance; LLM-agent relevance; Database/data quality relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""evaluation""], ""data_quality"": [""provenance""], ""graph_ml"": [""gnn""], ""llm_agent"": [""large language model"", ""retrieval-augmented"", ""rag""], ""repair"": [""validation""]}",conf/www/WangHZLLZQLLYAL26,,https://openalex.org/W7155831340
B,10,KG repair / data repair / constraints,2023,WWW,IMF: Interactive Multimodal Fusion Model for Link Prediction.,Xinhang Li; Xiangyu Zhao; Jiaxing Xu; Yong Zhang; Chunxiao Xing,"Link prediction aims to identify potential missing triples in knowledge graphs. To get better results, some recent studies have introduced multimodal information to link prediction. However, these methods utilize multimodal information separately and neglect the complicated interaction between different modalities. In this paper, we aim at better modeling the inter-modality information and thus introduce a novel Interactive Multimodal Fusion (IMF) model to integrate knowledge from different modalities. To this end, we propose a two-stage multimodal fusion framework to preserve modality-specific knowledge as well as take advantage of the complementarity between different modalities. Instead of directly projecting different modalities into a unified space, our multimodal fusion module limits the representations of different modalities independent while leverages bilinear pooling for fusion and incorporates contrastive learning as additional constraints. Furthermore, the decision fusion module delivers the learned weighted average over the predictions of all modalities to better incorporate the complementarity of different modalities. Our approach has been demonstrated to be effective through empirical evaluations on several real-world datasets. The implementation code is available online at https://github.com/HestiaSky/IMF-Pytorch.",https://doi.org/10.1145/3543507.3583554,10.1145/3543507.3583554,86,3,3,0,0,2,0,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; LLM-agent relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""evaluation""], ""kg"": [""knowledge graph""], ""llm_agent"": [""rag""], ""repair"": [""constraints""]}",conf/www/LiZXZX23,,https://openalex.org/W4353007065
B,10,KG repair / data repair / constraints,2024,VLDB,Clean4TSDB: A Data Cleaning Tool for Time Series Databases.,Xiaoou Ding; Yichen Song; Hongzhi Wang; Donghua Yang; Chen Wang; Jianmin Wang,"Billions of data points are generated by devices equipped with thousands of sensors, leading to significant data quality issues in time series data. These errors not only complicate time series data management but also compromise the accuracy and reliability of analysis based on such data. Given the noteworthy characteristics of time series data, existing cleaning methods struggle to provide adequate repairs, and tools supporting expressive constraints for time series remain scarce. To address this, we develop Clean4TSDB, a specialized data cleaning system for time series databases. This system integrates three key modules: expressive data quality constraint discovery, violation detection, and multivariate time series repairing, forming a comprehensive ""profiling-detection-repair"" workflow. Technically, we introduce TSDD, a data quality constraint that effectively captures contextual relationships within multivariate time series, and implement an efficient algorithm for its automated mining. Leveraging both row- and column-based constraints, we propose an effective time series cleaning algorithm. From a system standpoint, Clean4TSDB is pre-configured for seamless integration with time series databases like Apache IoTDB. Using user-provided and algorithmically-mined constraints, it effectively identifies various error patterns and offers reliable cleaning solutions. Furthermore, we establish a comprehensive library of state-of-the-art time series repair algorithms to meet the diverse needs of different management scenarios.",https://doi.org/10.14778/3685800.3685879,10.14778/3685800.3685879,13,3,3,0,0,2,2,0,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; LLM-agent relevance; Database/data quality relevance.,"{""data_quality"": [""data quality"", ""data cleaning""], ""kg"": [""ontology""], ""llm_agent"": [""rag""], ""repair"": [""constraints""]}",journals/pvldb/DingSWYWW24,,https://openalex.org/W4404181119
B,10,KG repair / data repair / constraints,2024,VLDB,Efficient and Reliable Estimation of Knowledge Graph Accuracy.,Stefano Marchesin; Gianmaria Silvello,"Data accuracy is a central dimension of data quality, especially when dealing with Knowledge Graphs (KGs). Auditing the accuracy of KGs is essential to make informed decisions in entity-oriented services or applications. However, manually evaluating the accuracy of large-scale KGs is prohibitively expensive, and research is focused on developing efficient sampling techniques for estimating KG accuracy. This work addresses the limitations of current KG accuracy estimation methods, which rely on the Wald method to build confidence intervals, addressing reliability issues such as zero-width and overshooting intervals. Our solution, rooted in the Wilson method and tailored for complex sampling designs, overcomes these limitations and ensures applicability across various evaluation scenarios. We show that the presented methods increase the reliability of accuracy estimates by up to two times when compared to the state-of-the-art while preserving or enhancing efficiency. Additionally, this consistency holds regardless of the KG size or topology.",https://doi.org/10.14778/3665844.3665865,10.14778/3665844.3665865,12,3,3,0,0,0,2,2,0,Matches: KG / RDF / Wikidata relevance; Repair / constraint / validation relevance; Database/data quality relevance; Benchmark/evaluation relevance.,"{""benchmark"": [""evaluation""], ""data_quality"": [""data quality""], ""kg"": [""knowledge graph""], ""repair"": [""consistency""]}",journals/pvldb/MarchesinS24,,https://openalex.org/W4401352349
